M:, N:, K:, FISTA runtime (seconds):, MSE: , PSNR: , SSIM: 
15, 225, 113, 0.02, 0.00037, 82.49630, 0.98921
16, 256, 128, 0.07, 0.00038, 82.35624, 0.98857
17, 289, 145, 0.07, 0.00038, 82.29270, 0.98784
18, 324, 162, 0.07, 0.00034, 82.85922, 0.98951
19, 361, 181, 0.07, 0.00038, 82.35421, 0.98845
20, 400, 200, 0.09, 0.00042, 81.89314, 0.98716
21, 441, 221, 0.09, 0.00039, 82.25775, 0.98799
22, 484, 242, 0.14, 0.00035, 82.65584, 0.98853
23, 529, 265, 0.13, 0.00037, 82.44922, 0.98758
24, 576, 288, 0.18, 0.00042, 81.86421, 0.98511
25, 625, 313, 0.13, 0.00039, 82.19016, 0.98620
26, 676, 338, 0.15, 0.00040, 82.12819, 0.98570
27, 729, 365, 0.17, 0.00041, 82.01751, 0.98415
28, 784, 392, 0.18, 0.00042, 81.86343, 0.98445
29, 841, 421, 0.22, 0.00042, 81.90226, 0.98504
30, 900, 450, 0.24, 0.00045, 81.58369, 0.98274
31, 961, 481, 0.28, 0.00041, 81.96463, 0.98358
32, 1024, 512, 0.32, 0.00040, 82.16206, 0.98335
33, 1089, 545, 0.37, 0.00046, 81.49455, 0.98300
34, 1156, 578, 0.40, 0.00041, 82.02949, 0.98246
35, 1225, 613, 0.43, 0.00041, 82.02047, 0.98289
36, 1296, 648, 0.49, 0.00043, 81.80166, 0.98223
37, 1369, 685, 0.57, 0.00045, 81.64591, 0.98188
38, 1444, 722, 0.62, 0.00046, 81.50279, 0.98182
39, 1521, 761, 0.71, 0.00043, 81.76774, 0.98110
40, 1600, 800, 0.77, 0.00044, 81.71851, 0.98090
41, 1681, 841, 0.90, 0.00044, 81.66218, 0.98071
42, 1764, 882, 0.98, 0.00043, 81.81004, 0.98093
43, 1849, 925, 1.06, 0.00042, 81.85877, 0.98165
44, 1936, 968, 1.14, 0.00048, 81.35080, 0.97885
45, 2025, 1013, 1.28, 0.00047, 81.45586, 0.97986
46, 2116, 1058, 1.38, 0.00047, 81.43054, 0.97975
47, 2209, 1105, 1.50, 0.00047, 81.37470, 0.97928
48, 2304, 1152, 1.68, 0.00047, 81.42132, 0.97942
49, 2401, 1201, 1.82, 0.00048, 81.35852, 0.97916
50, 2500, 1250, 1.94, 0.00047, 81.41366, 0.97955
51, 2601, 1301, 2.16, 0.00047, 81.36450, 0.97935
52, 2704, 1352, 2.29, 0.00048, 81.33186, 0.97878
53, 2809, 1405, 2.55, 0.00050, 81.12810, 0.97908
54, 2916, 1458, 2.78, 0.00049, 81.26091, 0.97923
55, 3025, 1513, 2.95, 0.00050, 81.17774, 0.97883
56, 3136, 1568, 3.21, 0.00053, 80.90853, 0.97757
57, 3249, 1625, 3.51, 0.00050, 81.13211, 0.97875
58, 3364, 1682, 3.75, 0.00050, 81.10591, 0.97894
59, 3481, 1741, 4.15, 0.00053, 80.90856, 0.97779
60, 3600, 1800, 4.99, 0.00055, 80.71345, 0.97723
61, 3721, 1861, 5.36, 0.00054, 80.82098, 0.97786
62, 3844, 1922, 5.58, 0.00055, 80.71243, 0.97732
63, 3969, 1985, 6.05, 0.00051, 81.02328, 0.97870
64, 4096, 2048, 6.43, 0.00054, 80.80391, 0.97769
65, 4225, 2113, 6.91, 0.00051, 81.05630, 0.97891
66, 4356, 2178, 7.48, 0.00053, 80.91419, 0.97825
67, 4489, 2245, 8.00, 0.00053, 80.92002, 0.97839
68, 4624, 2312, 9.00, 0.00053, 80.88911, 0.97811
69, 4761, 2381, 9.54, 0.00052, 80.93395, 0.97802
70, 4900, 2450, 10.11, 0.00054, 80.77965, 0.97758
71, 5041, 2521, 10.49, 0.00054, 80.77825, 0.97751
72, 5184, 2592, 11.23, 0.00053, 80.89025, 0.97848
73, 5329, 2665, 12.19, 0.00052, 80.99341, 0.97870
74, 5476, 2738, 12.77, 0.00051, 81.07659, 0.97950
75, 5625, 2813, 13.48, 0.00051, 81.05226, 0.97896
76, 5776, 2888, 14.33, 0.00052, 80.99570, 0.97900
77, 5929, 2965, 15.66, 0.00052, 80.95168, 0.97840
78, 6084, 3042, 16.02, 0.00052, 80.96516, 0.97874
79, 6241, 3121, 16.73, 0.00049, 81.19164, 0.97939
80, 6400, 3200, 17.83, 0.00051, 81.07066, 0.97938
81, 6561, 3281, 18.96, 0.00050, 81.10887, 0.97905
82, 6724, 3362, 19.79, 0.00049, 81.22184, 0.97992
83, 6889, 3445, 20.75, 0.00049, 81.24818, 0.97974
84, 7056, 3528, 21.92, 0.00050, 81.15315, 0.97900
85, 7225, 3613, 23.02, 0.00048, 81.27743, 0.98041
86, 7396, 3698, 24.64, 0.00050, 81.10900, 0.97939
87, 7569, 3785, 25.67, 0.00049, 81.19364, 0.97974
88, 7744, 3872, 26.98, 0.00050, 81.12133, 0.97894
89, 7921, 3961, 29.28, 0.00051, 81.03766, 0.97861
90, 8100, 4050, 30.20, 0.00049, 81.20429, 0.97976
91, 8281, 4141, 31.79, 0.00050, 81.17622, 0.97932
92, 8464, 4232, 34.44, 0.00050, 81.13237, 0.97913
93, 8649, 4325, 35.62, 0.00047, 81.40812, 0.98038
94, 8836, 4418, 37.93, 0.00048, 81.27653, 0.98016
95, 9025, 4513, 41.07, 0.00048, 81.28916, 0.97993
96, 9216, 4608, 41.46, 0.00047, 81.43297, 0.98062
97, 9409, 4705, 43.51, 0.00048, 81.29850, 0.98016
98, 9604, 4802, 45.85, 0.00047, 81.37797, 0.98036
99, 9801, 4901, 49.05, 0.00046, 81.46222, 0.98082
100, 10000, 5000, 51.51, 0.00047, 81.37006, 0.98041
