M:, N:, K:, FISTA runtime (seconds):, MSE: , PSNR: , SSIM: 
15, 225, 113, 0.02, 0.00006, 90.18131, 0.98724
16, 256, 128, 0.14, 0.00007, 89.89955, 0.98632
17, 289, 145, 0.11, 0.00006, 90.31432, 0.98725
18, 324, 162, 0.11, 0.00006, 90.43985, 0.98719
19, 361, 181, 0.14, 0.00007, 89.69856, 0.98343
20, 400, 200, 0.13, 0.00006, 90.35623, 0.98654
21, 441, 221, 0.14, 0.00006, 90.61182, 0.98549
22, 484, 242, 0.16, 0.00006, 90.28638, 0.98567
23, 529, 265, 0.16, 0.00006, 90.32493, 0.98463
24, 576, 288, 0.16, 0.00006, 90.07221, 0.98450
25, 625, 313, 0.19, 0.00007, 89.95482, 0.98330
26, 676, 338, 0.18, 0.00006, 90.43030, 0.98439
27, 729, 365, 0.22, 0.00006, 90.30568, 0.98434
28, 784, 392, 0.24, 0.00007, 89.98433, 0.98314
29, 841, 421, 0.27, 0.00006, 90.41712, 0.98486
30, 900, 450, 0.29, 0.00006, 90.40885, 0.98423
31, 961, 481, 0.29, 0.00006, 90.18351, 0.98330
32, 1024, 512, 0.35, 0.00006, 90.48119, 0.98385
33, 1089, 545, 0.39, 0.00006, 90.20891, 0.98423
34, 1156, 578, 0.44, 0.00006, 90.47697, 0.98480
35, 1225, 613, 0.54, 0.00006, 90.33123, 0.98364
36, 1296, 648, 0.55, 0.00006, 90.48996, 0.98434
37, 1369, 685, 0.64, 0.00006, 90.28351, 0.98350
38, 1444, 722, 0.67, 0.00006, 90.24664, 0.98356
39, 1521, 761, 0.75, 0.00006, 90.15303, 0.98284
40, 1600, 800, 0.83, 0.00006, 90.31853, 0.98383
41, 1681, 841, 0.86, 0.00006, 90.09973, 0.98327
42, 1764, 882, 0.98, 0.00006, 90.26516, 0.98341
43, 1849, 925, 1.04, 0.00006, 90.33733, 0.98333
44, 1936, 968, 1.22, 0.00006, 90.35354, 0.98338
45, 2025, 1013, 1.25, 0.00006, 90.09377, 0.98236
46, 2116, 1058, 1.45, 0.00006, 90.32408, 0.98304
47, 2209, 1105, 1.52, 0.00006, 90.48875, 0.98336
48, 2304, 1152, 1.73, 0.00006, 90.60517, 0.98367
49, 2401, 1201, 1.84, 0.00006, 90.50685, 0.98334
50, 2500, 1250, 2.02, 0.00006, 90.65712, 0.98378
51, 2601, 1301, 2.22, 0.00006, 90.49236, 0.98330
52, 2704, 1352, 2.40, 0.00006, 90.35325, 0.98322
53, 2809, 1405, 2.65, 0.00006, 90.69782, 0.98382
54, 2916, 1458, 2.80, 0.00006, 90.52206, 0.98276
55, 3025, 1513, 3.09, 0.00006, 90.52335, 0.98305
56, 3136, 1568, 3.25, 0.00006, 90.40016, 0.98241
57, 3249, 1625, 3.55, 0.00006, 90.46829, 0.98290
58, 3364, 1682, 3.79, 0.00006, 90.42041, 0.98243
59, 3481, 1741, 4.14, 0.00006, 90.52720, 0.98301
60, 3600, 1800, 5.03, 0.00006, 90.62907, 0.98343
61, 3721, 1861, 5.43, 0.00006, 90.48791, 0.98279
62, 3844, 1922, 5.85, 0.00006, 90.60946, 0.98303
63, 3969, 1985, 6.13, 0.00005, 90.75307, 0.98364
64, 4096, 2048, 6.60, 0.00005, 90.79658, 0.98398
65, 4225, 2113, 7.04, 0.00005, 90.74953, 0.98381
66, 4356, 2178, 7.50, 0.00005, 90.77915, 0.98334
67, 4489, 2245, 8.01, 0.00006, 90.63221, 0.98283
68, 4624, 2312, 8.69, 0.00005, 90.78834, 0.98334
69, 4761, 2381, 9.14, 0.00006, 90.64349, 0.98256
70, 4900, 2450, 9.91, 0.00006, 90.68074, 0.98277
71, 5041, 2521, 10.37, 0.00005, 90.77331, 0.98285
72, 5184, 2592, 10.97, 0.00006, 90.52914, 0.98217
73, 5329, 2665, 11.61, 0.00006, 90.64739, 0.98247
74, 5476, 2738, 12.42, 0.00005, 90.93775, 0.98361
75, 5625, 2813, 13.09, 0.00005, 90.89944, 0.98373
76, 5776, 2888, 14.02, 0.00006, 90.63213, 0.98237
77, 5929, 2965, 14.82, 0.00005, 90.89036, 0.98346
78, 6084, 3042, 15.82, 0.00006, 90.65710, 0.98249
79, 6241, 3121, 16.63, 0.00006, 90.71425, 0.98280
80, 6400, 3200, 17.59, 0.00006, 90.62328, 0.98233
81, 6561, 3281, 18.74, 0.00005, 90.78010, 0.98258
82, 6724, 3362, 19.68, 0.00005, 90.83356, 0.98263
83, 6889, 3445, 20.77, 0.00005, 90.83813, 0.98312
84, 7056, 3528, 22.07, 0.00006, 90.72424, 0.98258
85, 7225, 3613, 23.16, 0.00005, 90.77774, 0.98261
86, 7396, 3698, 24.32, 0.00006, 90.72019, 0.98240
