M: 15,  N: 225,  K: 56,  FISTA runtime: 0.01 seconds
M: 16,  N: 256,  K: 64,  FISTA runtime: 0.02 seconds
M: 17,  N: 289,  K: 72,  FISTA runtime: 0.02 seconds
M: 18,  N: 324,  K: 81,  FISTA runtime: 0.02 seconds
M: 19,  N: 361,  K: 90,  FISTA runtime: 0.03 seconds
M: 20,  N: 400,  K: 100,  FISTA runtime: 0.03 seconds
M: 21,  N: 441,  K: 110,  FISTA runtime: 0.04 seconds
M: 22,  N: 484,  K: 121,  FISTA runtime: 0.04 seconds
M: 23,  N: 529,  K: 132,  FISTA runtime: 0.05 seconds
M: 24,  N: 576,  K: 144,  FISTA runtime: 0.05 seconds
M: 25,  N: 625,  K: 156,  FISTA runtime: 0.07 seconds
M: 26,  N: 676,  K: 169,  FISTA runtime: 0.08 seconds
M: 27,  N: 729,  K: 182,  FISTA runtime: 0.10 seconds
M: 28,  N: 784,  K: 196,  FISTA runtime: 0.11 seconds
M: 29,  N: 841,  K: 210,  FISTA runtime: 0.13 seconds
M: 30,  N: 900,  K: 225,  FISTA runtime: 0.15 seconds
M: 31,  N: 961,  K: 240,  FISTA runtime: 0.17 seconds
M: 32,  N: 1024,  K: 256,  FISTA runtime: 0.22 seconds
M: 33,  N: 1089,  K: 272,  FISTA runtime: 0.27 seconds
M: 34,  N: 1156,  K: 289,  FISTA runtime: 0.34 seconds
M: 35,  N: 1225,  K: 306,  FISTA runtime: 0.43 seconds
M: 36,  N: 1296,  K: 324,  FISTA runtime: 0.49 seconds
M: 37,  N: 1369,  K: 342,  FISTA runtime: 0.60 seconds
M: 38,  N: 1444,  K: 361,  FISTA runtime: 0.67 seconds
M: 39,  N: 1521,  K: 380,  FISTA runtime: 0.78 seconds
M: 40,  N: 1600,  K: 400,  FISTA runtime: 0.81 seconds
M: 41,  N: 1681,  K: 420,  FISTA runtime: 1.12 seconds
M: 42,  N: 1764,  K: 441,  FISTA runtime: 1.19 seconds
M: 43,  N: 1849,  K: 462,  FISTA runtime: 1.56 seconds
M: 44,  N: 1936,  K: 484,  FISTA runtime: 1.67 seconds
M: 45,  N: 2025,  K: 506,  FISTA runtime: 2.01 seconds
M: 46,  N: 2116,  K: 529,  FISTA runtime: 2.23 seconds
M: 47,  N: 2209,  K: 552,  FISTA runtime: 2.60 seconds
M: 48,  N: 2304,  K: 576,  FISTA runtime: 2.49 seconds
M: 49,  N: 2401,  K: 600,  FISTA runtime: 3.14 seconds
M: 50,  N: 2500,  K: 625,  FISTA runtime: 3.50 seconds
M: 51,  N: 2601,  K: 650,  FISTA runtime: 3.98 seconds
M: 52,  N: 2704,  K: 676,  FISTA runtime: 4.06 seconds
M: 53,  N: 2809,  K: 702,  FISTA runtime: 4.89 seconds
M: 54,  N: 2916,  K: 729,  FISTA runtime: 5.34 seconds
M: 55,  N: 3025,  K: 756,  FISTA runtime: 6.10 seconds
M: 56,  N: 3136,  K: 784,  FISTA runtime: 5.51 seconds
M: 57,  N: 3249,  K: 812,  FISTA runtime: 7.30 seconds
M: 58,  N: 3364,  K: 841,  FISTA runtime: 7.95 seconds
M: 59,  N: 3481,  K: 870,  FISTA runtime: 9.19 seconds
M: 60,  N: 3600,  K: 900,  FISTA runtime: 9.54 seconds
M: 61,  N: 3721,  K: 930,  FISTA runtime: 11.36 seconds
M: 62,  N: 3844,  K: 961,  FISTA runtime: 12.04 seconds
M: 63,  N: 3969,  K: 992,  FISTA runtime: 13.34 seconds
M: 64,  N: 4096,  K: 1024,  FISTA runtime: 13.12 seconds
M: 65,  N: 4225,  K: 1056,  FISTA runtime: 16.16 seconds
M: 66,  N: 4356,  K: 1089,  FISTA runtime: 16.41 seconds
M: 67,  N: 4489,  K: 1122,  FISTA runtime: 17.96 seconds
M: 68,  N: 4624,  K: 1156,  FISTA runtime: 18.94 seconds
M: 69,  N: 4761,  K: 1190,  FISTA runtime: 21.90 seconds
M: 70,  N: 4900,  K: 1225,  FISTA runtime: 24.23 seconds
M: 71,  N: 5041,  K: 1260,  FISTA runtime: 24.48 seconds
M: 72,  N: 5184,  K: 1296,  FISTA runtime: 23.92 seconds
M: 73,  N: 5329,  K: 1332,  FISTA runtime: 27.99 seconds
M: 74,  N: 5476,  K: 1369,  FISTA runtime: 30.18 seconds
M: 75,  N: 5625,  K: 1406,  FISTA runtime: 33.81 seconds
M: 76,  N: 5776,  K: 1444,  FISTA runtime: 34.53 seconds
M: 77,  N: 5929,  K: 1482,  FISTA runtime: 40.05 seconds
M: 78,  N: 6084,  K: 1521,  FISTA runtime: 40.88 seconds
M: 79,  N: 6241,  K: 1560,  FISTA runtime: 47.11 seconds
M: 80,  N: 6400,  K: 1600,  FISTA runtime: 48.39 seconds
M: 81,  N: 6561,  K: 1640,  FISTA runtime: 52.69 seconds
M: 82,  N: 6724,  K: 1681,  FISTA runtime: 54.87 seconds
M: 83,  N: 6889,  K: 1722,  FISTA runtime: 61.01 seconds
M: 84,  N: 7056,  K: 1764,  FISTA runtime: 63.95 seconds
M: 85,  N: 7225,  K: 1806,  FISTA runtime: 69.72 seconds
M: 86,  N: 7396,  K: 1849,  FISTA runtime: 71.71 seconds
M: 87,  N: 7569,  K: 1892,  FISTA runtime: 78.95 seconds
M: 88,  N: 7744,  K: 1936,  FISTA runtime: 76.55 seconds
M: 89,  N: 7921,  K: 1980,  FISTA runtime: 96.11 seconds
